               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.027791,            0.012964,           0.0039542,             0.75036,             0.88808,              0.8076,             0.57494,            0.025678,           0.0051283,           0.0027392,           0.0085744,           0.0085744,           0.0085744
                  74,            0.027613,            0.012907,           0.0039208,              0.7612,             0.88638,             0.81221,             0.57687,            0.025741,           0.0050916,           0.0027325,           0.0085546,           0.0085546,           0.0085546
                  75,            0.027633,            0.012713,           0.0038069,             0.76561,             0.88481,             0.80963,             0.57612,            0.025464,           0.0050353,           0.0027431,           0.0085348,           0.0085348,           0.0085348
                  76,             0.02742,            0.012919,           0.0036618,              0.7716,             0.88564,             0.81691,             0.57871,            0.025219,           0.0049982,           0.0027267,            0.008515,            0.008515,            0.008515
                  77,            0.026986,            0.012789,           0.0034047,             0.76185,             0.89394,             0.81182,             0.58386,            0.024739,           0.0050114,           0.0027458,           0.0084952,           0.0084952,           0.0084952
                  78,            0.027062,            0.012596,            0.003463,             0.77203,              0.8819,             0.81418,             0.58304,            0.024773,           0.0050452,           0.0027505,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027159,            0.012793,           0.0035099,             0.76678,             0.89082,             0.81765,             0.58454,            0.025006,           0.0050055,           0.0027067,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027043,            0.012599,           0.0036224,             0.76659,             0.88407,             0.81932,              0.5836,            0.025164,           0.0050523,           0.0027826,           0.0084358,           0.0084358,           0.0084358
                  81,             0.02751,            0.012776,           0.0036189,             0.76666,             0.88691,             0.81601,             0.58405,            0.025012,           0.0050602,           0.0027396,            0.008416,            0.008416,            0.008416
                  82,            0.027227,             0.01282,           0.0035625,             0.76707,             0.88421,              0.8192,             0.58606,            0.024992,           0.0050015,           0.0027309,           0.0083962,           0.0083962,           0.0083962
                  83,            0.026826,            0.012552,           0.0035017,             0.77815,             0.88383,             0.81819,             0.58704,            0.024807,           0.0049775,           0.0027443,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026962,             0.01273,           0.0035217,             0.77106,             0.88756,             0.81769,             0.58602,            0.024691,           0.0049851,            0.002769,           0.0083566,           0.0083566,           0.0083566
